流速	流速，是流体的流动速度。
利默	利默（Limeux，limø）是法国谢尔省的一个市镇，属于维耶尔宗区。
瑞塞	瑞塞（Jussey，ʒysɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
裸妆	裸妆是一种在2006年春季开始兴起的化粧技巧，但与裸体并没有任何关连。
刀人	刀人是中国帝王低级妃嫔称号。 隋朝刀人和承衣、采女，皆服褖衣，无印绶。
凯日	凯日（Queige，kɛʒ）是法国萨瓦省的一个市镇，属于阿尔贝维尔区。
转杯	转杯是一个以团队为基础的饮酒游戏。 玩家需分为同等数量的两队相互面对。
体育	体育是巴拉圭人日常生活中重要的部分。巴拉圭体育也上升成为一种国家文化。
仰姓	仰姓是中文姓氏之一，在《百家姓》中排第236位。在现代是极罕见的姓氏。
普通	普通（520年正月－527年三月）是梁武帝萧衍的第二个年号，共6年余。
莫村	莫村（Motz，mo；Môtz）是法国萨瓦省的一个市镇，属于尚贝里区。
茹姓	茹姓是中文姓氏之一，在《百家姓》中排第331位。在现代是极罕见的姓氏。
始光	始光（424年正月-428年正月）是北魏太武帝拓跋焘的年号，历时4年。
穴蝰	穴蝰是蛇亚目穴蝰科下的一个有毒蛇种，主要分布于非洲。目前未有任何亚种。
濮姓	濮姓是中文姓氏之一，在《百家姓》中排第309位。在现代是极罕见的姓氏。
屈涅	屈涅（Cugney，kyɲɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
塔塞	塔塞（Tassé，tase）是法国萨尔特省的一个市镇，属于拉弗莱什区。
布热	布热（Bougey，buʒɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
马涅	马涅（Magné，maɲe）是法国德塞夫勒省的一个市镇，属于尼奥尔区。
勒宰	勒宰（Lezay，ləzɛ）是法国德塞夫勒省的一个市镇，属于尼奥尔区。
上头	上头是中式婚礼中婚前礼之一，是简化版的成人礼，同时包含著对婚姻的祝福。
郏姓	郏姓是中文姓氏之一，在《百家姓》中排第317位。在现代是极罕见的姓氏。
姚江	姚江，古名舜江，又名余姚江，是中国浙江省的一条河流，因流经余姚而得名。
若泽	若泽（Jauzé，ʒoze）是法国萨尔特省的一个市镇，属于马梅尔斯区。
怀姓	怀姓是中文姓氏之一，在《百家姓》中排第268位。在现代是极罕见的姓氏。
巴伊	巴伊（Bailly，baji）是法国伊夫林省的一个市镇，属于凡尔赛区。
苍姓	苍姓是中文姓氏之一，在《百家姓》中排第287位。在现代是极罕见的姓氏。
游泳	游泳，是在水中靠自力漂浮，借自身肢体的动作在水中运动前进的运动、技能。
充华	充华是中国帝王妃嫔称号。 晋武帝开始设置充华之号，位列九嫔，视为九卿。
索塔	索塔（Sotta，sɔta）是法国南科西嘉省的一个市镇，属于萨尔泰讷区。
赛西	赛西（Saisy，sɛzi）是法国索恩-卢瓦尔省的一个市镇，属于欧坦区。
腌泡	腌泡（英语：Marination）是在烹调前把用拌有佐料的腌汁浸泡肉类。
帕农	帕农（Panon，panɔ̃）是法国萨尔特省的一个市镇，属于马梅尔斯区。
玉堤	玉堤是东京都世田谷区的地名，设一丁目与二丁目。邮递区号158-0087。
弧前	弧前（forearc）是指海沟和火山弧之间的区域。包括增生楔和弧前盆地。
菲兰	菲兰（Filain，filɛ̃）是法国上索恩省的一个市镇，属于沃苏勒区。
扈姓	扈姓是中文姓氏之一，在《百家姓》中排第314位。在现代他是极罕见的姓氏。
李象	李象是唐太宗嫡长子李承干和太子妃苏氏的嫡长子。唐太宗最初立李承干为太子。
化鲸	化鲸是日本的海洋怪物或妖怪。外观只有白色的骨架，又称骨鲸（ほねくじら）。
茹德	茹德（Joudes，ʒud）是法国索恩-卢瓦尔省的一个市镇，属于卢昂区。
罗赛	罗赛（Rosay，ʁozɛ）是法国伊夫林省的一个市镇，属于芒特拉若利区。
欧塞	欧塞（Haussez，ose）是法国滨海塞纳省的一个市镇，属于迪耶普区。
图雪	图雪（Toussieu，tusjø）是法国罗讷省的一个市镇，属于里昂区。
铜钹	铜钹是一种常见的打击乐器。铜钹一般会是成对的，是由各种合金材质的薄圆盘。
唐镇	唐镇是中国上海市浦东新区下辖的一个镇。唐镇的名称来源于附近的一座唐墓桥。
贝耶	贝耶（Beillé，bɛje）是法国萨尔特省的一个市镇，属于马梅尔斯区。
红姓	红姓是中文姓氏之一，在《百家姓》中排第400位。在现代它是极罕见的姓氏。
科奈	科奈（Caunay，konɛ）是法国德塞夫勒省的一个市镇，属于尼奥尔区。
吕宰	吕宰（Luzay，lyzɛ）是法国德塞夫勒省的一个市镇，属于布雷叙尔区。
韩彰	韩彰是小说《三侠五义》和《包青天》里的一个人物。他的外表高大，有著黄须。
通姓	通姓是中文姓氏之一，在《百家姓》中排第312位。在现代他是极罕见的姓氏。
F4	F4是一种在东南亚很常用的纸张格式，与美国的法定规格相近，但较为窄和短。
潘塞	潘塞（Pincé，pɛ̃se）是法国萨尔特省的一个市镇，属于拉弗莱什区。
和韵	和韵是和诗的一种。起初，和诗时只要和意即可，和诗的体式、韵脚都不用顾虑。
陈横	陈横，是《三国演义》中的虚构人物，刘繇部将。 陈横是扬州刺史刘繇的部将。
吕尼	吕尼（Lugny，lyɲi）是法国索恩-卢瓦尔省的一个市镇，属于马孔区。
屈济	屈济（Cuzy，kyzi）是法国索恩-卢瓦尔省的一个市镇，属于沙罗勒区。
迈涅	迈涅（Maigné，mɛɲe）是法国萨尔特省的一个市镇，属于拉弗莱什区。
野葵	野葵（学名：Malva verticillata）是锦葵科锦葵属的植物。
卢安	卢安（Louin，lwɛ̃）是法国德塞夫勒省的一个市镇，属于帕尔特奈区。
卢济	卢济（Louzy，luzi）是法国德塞夫勒省的一个市镇，属于布雷叙尔区。
松姓	松姓是中文姓氏之一，在《百家姓》中排第216位。在现代他是极罕见的姓氏。
暴姓	暴姓是中文姓氏之一，在《百家姓》中排第244位。在现代它是极罕见的姓氏。
附贡	附贡，是明清科举的一种出身。由附生通过报捐方式取得贡生资格者称“附贡”。
莱济	莱济（Laizy，lɛzi）是法国索恩-卢瓦尔省的一个市镇，属于欧坦区。
迪诺	迪诺（Duneau，dyno）是法国萨尔特省的一个市镇，属于马梅尔斯区。
目田	目田是由中国大陆网民创造出来的网络新词，用以替代被屏蔽的敏感词“自由”。
景平	景平（423年－424年八月）是南朝宋皇帝宋少帝刘义符的年号，共计2年。
幸岛	幸岛是位于日本宫崎县串间市附近日向滩的一个小岛。该岛距串间市约13公里。
网油	网油是围绕动物（如牛、羊、猪）内部器官的薄膜，为烹饪食材。古汉语称为膋。
命运	命运，由命和运两字组合成的字词，是指生命的经历。命指生命，运即经验历程。
别墅	别墅（Villa），是住宅的一种。别墅通常是一栋独立建筑或多栋建筑组成。
舍奈	舍奈（Chenay，ʃənɛ）是法国德塞夫勒省的一个市镇，属于尼奥尔区。
泰尼	泰尼（Tennie，teni）是法国萨尔特省的一个市镇，属于马梅尔斯区。
黄国	黄国，嬴姓诸侯国，国民是东夷中黄夷的后代。商代黄夷已在淮水之滨建立国家。
旺塞	旺塞（Vancé，vɑ̃se）是法国萨尔特省的一个市镇，属于马梅尔斯区。
福塞	福塞（Fossé，fose）是法国卢瓦-谢尔省的一个市镇，属于布卢瓦区。
邬姓	邬姓是一个中文姓氏，在《百家姓》中排名第78位。 起源 邬姓有多个起源。
军屯	军屯是指驻屯的军队，利用驻屯军队就地耕种土地。军屯是「寓兵于农」的政策。
叙安	叙安（Suin，sɥɛ̃）是法国索恩-卢瓦尔省的一个市镇，属于沙罗勒区。
于雄	于雄（Uchon，yʃɔ̃）是法国索恩-卢瓦尔省的一个市镇，属于欧坦区。
乳牙	乳牙，又称奶牙，是人类和很多动物的第一套牙齿。脱落后再生的牙齿称为恒齿。
徽位	徽位，或称徽，是古琴上的音位，1张古琴通常有13个徽，以螺钿、玉等标示。
烘箱	烘箱是实验室中的一种加热设备。用途多为对一物体均匀且长时间的加热、恒温。
抽苔	抽苔（Bolting）是指某些具有基部簇生叶的植物产生花茎的过程或时期。
特莱	特莱（Theuley，tœlɛ）是法国上索恩省的一个市镇，属于沃苏勒区。
李因	李因（1685年），字是庵，号龛山逸史，晚号今生。明末清初女诗人、画家。
葵州	葵州，是明代交阯承宣布政使司乂安府下辖的一个州。治所在今越南乂安省葵州县。
孔利	孔利（Conlie，kɔ̃li）是法国萨尔特省的一个市镇，属于马梅尔斯区。
屋脊	屋脊，是屋顶相对的两边之间顶端的交与会线，有正脊、垂脊、围脊、围脊等类型。
沃舒	沃舒（Vauchoux，voʃu）是法国上索恩省的一个市镇，属于沃苏勒区。
多隆	多隆（Dollon，dɔlɔ̃）是法国萨尔特省的一个市镇，属于马梅尔斯区。
贝隆	贝隆（Bellon，belɔ̃）是法国夏朗德省的一个市镇，属于昂古莱姆区。
碱蒿	碱蒿（学名：Artemisia anethifolia）是菊科蒿属的植物。
阿法	阿法（Afa，afa；Afà）是法国南科西嘉省的一个市镇，属于阿雅克肖区。
熊野	熊野（くまの）是日本和歌山县南部和三重县南部所构成的地域。纪伊半岛南端部。
气炉	气炉是一种以天然气、丙烷或其他可燃性气体作为燃料以产生火焰的厨房煮食用具。
西凉	西凉（400年—421年）是十六国之一。 400年李暠在敦煌郡称“凉公”。
尚同	尚同，是墨子在春秋战国时提出的主要思想，其主旨之所谓「尚同」即是「上同」。
莱尼	莱尼（Légny，leɲi）是法国罗讷省的一个市镇，属于索恩河畔自由城区。
正朔	正朔是历法定年定月之基础。一年的第一个月称作正月，正月第一天为岁首、元旦。
同情	同情（Sympathy）是对自身以外的生命的痛苦或需要的感知、理解和反应。
牛墟	牛墟是一种定期举行的露天牛只买卖市集。台湾在日治时期曾一度有八十余处牛墟。
德欧	德欧（Dehault，də.o）是法国萨尔特省的一个市镇，属于马梅尔斯区。
卫军	卫军是元朝宿卫制度的一环。 早期蒙古帝国以怯薜为主要的中央护卫的军事力量。
国魂	国魂（くにたま）是神道的观念之一，国（令制国）或国土的神格化。也写作国灵。
伊藤	伊藤是日本的第6大姓氏，总人数在1080000左右 。 是日本第六大姓氏。
晋姓	晋姓是汉姓之一，在明朝《百家姓续编》中排第458位。在现代是极罕见的姓氏。
绍赖	绍赖（Chauray，ʃoʁɛ）是法国德塞夫勒省的一个市镇，属于尼奥尔区。
瑞耶	瑞耶（Juillé，ʒɥije）是法国萨尔特省的一个市镇，属于马梅尔斯区。
旺宰	旺宰（Vanzay，vɑ̃zɛ）是法国德塞夫勒省的一个市镇，属于尼奥尔区。
鲁永	鲁永（Rouillon，ʁujɔ̃）是法国萨尔特省的一个市镇，属于勒芒区。
湍鸭	湍鸭（学名：Merganetta armata），是雁形目鸭科的一种鸟类。
叙兰	叙兰（Surin，syʁɛ̃）是法国德塞夫勒省的一个市镇，属于帕尔特奈区。
博费	博费（Beaufay，bofɛ）是法国萨尔特省的一个市镇，属于马梅尔斯区。
科南	科南（Conan，kɔnɑ̃）是法国卢瓦-谢尔省的一个市镇，属于布卢瓦区。
阿富	阿富（Affoux，afu）是法国罗讷省的一个市镇，属于索恩河畔自由城区。
布贡	布贡（Bougon，buɡɔ̃）是法国德塞夫勒省的一个市镇，属于尼奥尔区。
森氏	森氏，日语训读音为もりし，是日本的一个氏族、苗字。占日本姓氏列表第27位。
花瓣	花瓣是花冠的一个组成部分。它是花被的内部组成部分，是花无性的一个组成部分。
埴轮	埴轮是日本古坟顶部和坟丘四周排列的素陶器的总称。分为圆筒形埴轮和形象埴轮。
罗诺	罗诺（Ronno，ʁɔno）是法国罗讷省的一个市镇，属于索恩河畔自由城区。
嵩县	嵩县是中国河南省洛阳市下辖的一个县。面积3009平方千米，总人口56万人。
海塘	海塘是人工修建的挡浪潮堤坝，或称「海堤」，「大堤」、「大坝」、「海墙」等。
